trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
9017927, 5:25:00, 5:25:00,646,1,,0,0,
9017927, 5:25:50, 5:25:50,378,2,,0,0,0.3300
9017927, 5:26:28, 5:26:28,379,3,,0,0,0.5780
9017927, 5:27:33, 5:27:33,381,4,,0,0,1.0061
9017927, 5:28:52, 5:28:52,1269,5,,0,0,1.5221
9017927, 5:29:24, 5:29:24,1270,6,,0,0,1.7301
9017927, 5:29:54, 5:29:54,1271,7,,0,0,1.9271
9017927, 5:30:19, 5:30:19,1272,8,,0,0,2.0931
9017927, 5:30:59, 5:30:59,1273,9,,0,0,2.3591
9017927, 5:31:30, 5:31:30,1274,10,,0,0,2.5642
9017927, 5:32:11, 5:32:11,1275,11,,0,0,2.8334
9017927, 5:33:24, 5:33:24,1276,12,,0,0,3.3083
9017927, 5:33:39, 5:33:39,1277,13,,0,0,3.4113
9017927, 5:34:09, 5:34:09,1278,14,,0,0,3.6103
9017927, 5:34:39, 5:34:39,1279,15,,0,0,3.8103
9017927, 5:35:09, 5:35:09,1280,16,,0,0,4.0073
9017927, 5:35:39, 5:35:39,1281,17,,0,0,4.2054
9017927, 5:36:03, 5:36:03,56,18,,0,0,4.3659
9017927, 5:36:33, 5:36:33,57,19,,0,0,4.5620
9017927, 5:37:05, 5:37:05,58,20,,0,0,4.7710
9017927, 5:37:33, 5:37:33,59,21,,0,0,4.9571
9017927, 5:38:00, 5:38:00,60,22,,0,0,5.0638
9017927, 5:38:35, 5:38:35,61,23,,0,0,5.2448
9017927, 5:39:12, 5:39:12,62,24,,0,0,5.4340
9017927, 5:39:31, 5:39:31,63,25,,0,0,5.5340
9017927, 5:40:06, 5:40:06,64,26,,0,0,5.7171
9017927, 5:41:37, 5:41:37,12040,27,,0,0,6.1851
9017927, 5:42:09, 5:42:09,66,28,,0,0,6.3521
9017927, 5:42:42, 5:42:42,10542,29,,0,0,6.5242
9017927, 5:43:16, 5:43:16,68,30,,0,0,6.6992
9017927, 5:43:50, 5:43:50,69,31,,0,0,6.8763
9017927, 5:44:23, 5:44:23,70,32,,0,0,7.0484
9017927, 5:44:57, 5:44:57,71,33,,0,0,7.2254
9017927, 5:45:32, 5:45:32,72,34,,0,0,7.4065
9017927, 5:50:33, 5:50:33,75,35,,0,0,8.9441
9017927, 5:51:30, 5:51:30,11881,36,,0,0,9.2361
9017927, 5:51:48, 5:51:48,29,37,,0,0,9.3309
9017927, 5:52:56, 5:52:56,30,38,,0,0,9.6796
9017927, 5:53:29, 5:53:29,31,39,,0,0,9.8494
9017927, 5:54:33, 5:54:33,1857,40,,1,0,10.1772
9017927, 5:55:00, 5:55:00,1856,41,,1,0,10.2713
9017928, 5:45:00, 5:45:00,646,1,,0,0,
9017928, 5:45:50, 5:45:50,378,2,,0,0,0.3300
9017928, 5:46:28, 5:46:28,379,3,,0,0,0.5780
9017928, 5:47:33, 5:47:33,381,4,,0,0,1.0061
9017928, 5:48:52, 5:48:52,1269,5,,0,0,1.5221
9017928, 5:49:24, 5:49:24,1270,6,,0,0,1.7301
9017928, 5:49:54, 5:49:54,1271,7,,0,0,1.9271
9017928, 5:50:19, 5:50:19,1272,8,,0,0,2.0931
9017928, 5:50:59, 5:50:59,1273,9,,0,0,2.3591
9017928, 5:51:30, 5:51:30,1274,10,,0,0,2.5642
9017928, 5:52:11, 5:52:11,1275,11,,0,0,2.8334
9017928, 5:53:24, 5:53:24,1276,12,,0,0,3.3083
9017928, 5:53:39, 5:53:39,1277,13,,0,0,3.4113
9017928, 5:54:09, 5:54:09,1278,14,,0,0,3.6103
9017928, 5:54:39, 5:54:39,1279,15,,0,0,3.8103
9017928, 5:55:09, 5:55:09,1280,16,,0,0,4.0073
9017928, 5:55:39, 5:55:39,1281,17,,0,0,4.2054
9017928, 5:56:03, 5:56:03,56,18,,0,0,4.3659
9017928, 5:56:33, 5:56:33,57,19,,0,0,4.5620
9017928, 5:57:05, 5:57:05,58,20,,0,0,4.7710
9017928, 5:57:33, 5:57:33,59,21,,0,0,4.9571
9017928, 5:58:00, 5:58:00,60,22,,0,0,5.0638
9017928, 5:58:35, 5:58:35,61,23,,0,0,5.2448
9017928, 5:59:12, 5:59:12,62,24,,0,0,5.4340
9017928, 5:59:31, 5:59:31,63,25,,0,0,5.5340
9017928, 6:00:06, 6:00:06,64,26,,0,0,5.7171
9017928, 6:01:37, 6:01:37,12040,27,,0,0,6.1851
9017928, 6:02:09, 6:02:09,66,28,,0,0,6.3521
9017928, 6:02:42, 6:02:42,10542,29,,0,0,6.5242
9017928, 6:03:16, 6:03:16,68,30,,0,0,6.6992
9017928, 6:03:50, 6:03:50,69,31,,0,0,6.8763
9017928, 6:04:23, 6:04:23,70,32,,0,0,7.0484
9017928, 6:04:57, 6:04:57,71,33,,0,0,7.2254
9017928, 6:05:32, 6:05:32,72,34,,0,0,7.4065
9017928, 6:10:33, 6:10:33,75,35,,0,0,8.9441
9017928, 6:11:30, 6:11:30,11881,36,,0,0,9.2361
9017928, 6:11:48, 6:11:48,29,37,,0,0,9.3309
9017928, 6:12:56, 6:12:56,30,38,,0,0,9.6796
9017928, 6:13:29, 6:13:29,31,39,,0,0,9.8494
9017928, 6:14:33, 6:14:33,1857,40,,1,0,10.1772
9017928, 6:15:00, 6:15:00,1856,41,,1,0,10.2713
9017929, 6:04:00, 6:04:00,646,1,,0,0,
9017929, 6:04:54, 6:04:54,378,2,,0,0,0.3300
9017929, 6:05:35, 6:05:35,379,3,,0,0,0.5780
9017929, 6:06:46, 6:06:46,381,4,,0,0,1.0061
9017929, 6:08:11, 6:08:11,1269,5,,0,0,1.5221
9017929, 6:08:45, 6:08:45,1270,6,,0,0,1.7301
9017929, 6:09:17, 6:09:17,1271,7,,0,0,1.9271
9017929, 6:09:44, 6:09:44,1272,8,,0,0,2.0931
9017929, 6:10:28, 6:10:28,1273,9,,0,0,2.3591
9017929, 6:11:02, 6:11:02,1274,10,,0,0,2.5642
